accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,pairwise_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,soft_ce_weight,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,utility_weight,validation_reranker_loss,validation_samples,validation_static_loss
0.5,0.962886,0.088889,4,8,0.005882,0.012765,8,0.511111,0.956003,0.2,pairwise,0.968767,1.0,pairwise_generated_reranker,40,600,400,0.005,,17,0.155556,0.055556,0.122222,0.066667,0.122222,0.077778,0.1,0.144444,0.844444,0.044444,0.055556,0.011111,0.044444,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
0.5,0.962886,0.088889,4,8,0.005882,0.012765,8,0.511111,0.956003,0.2,pairwise,0.968767,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,17,0.155556,0.055556,0.122222,0.066667,0.122222,0.077778,0.1,0.144444,0.844444,0.044444,0.055556,0.011111,0.044444,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
0.511111,0.962886,1.0,4,8,0.0,0.006883,8,0.511111,0.956003,0.355556,pairwise,0.962886,1.0,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355556,0.355556,0.022222,0.266667,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
0.511111,0.962886,0.355556,4,8,-0.006883,0.0,8,0.511111,0.956003,1.0,pairwise,0.956003,1.0,generated_oracle,40,600,400,0.005,,17,0.077778,0.111111,0.077778,0.1,0.122222,0.066667,0.055556,0.033333,0.644444,0.255556,0.022222,0.011111,0.066667,0.25,generated_2,learned,90,2048,0.05,0.940743,180,0.958614
0.533333,0.973841,0.177778,4,8,0.028924,0.037014,8,0.633333,0.96575,0.022222,pairwise,1.002764,1.0,static_base_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.037014,8,0.633333,0.96575,0.022222,pairwise,1.002764,1.0,static_generated_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.6,0.973841,0.288889,4,8,0.009189,0.017279,8,0.633333,0.96575,0.4,pairwise,0.98303,1.0,pairwise_generated_reranker,40,600,400,0.005,,19,0.011111,0.088889,0.055556,0.055556,0.088889,0.055556,0.033333,0.1,0.488889,0.388889,0.022222,0.022222,0.077778,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.6,0.973841,0.288889,4,8,0.009189,0.017279,8,0.633333,0.96575,0.4,pairwise,0.98303,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,19,0.011111,0.088889,0.055556,0.055556,0.088889,0.055556,0.033333,0.1,0.488889,0.388889,0.022222,0.022222,0.077778,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.622222,0.973841,1.0,4,8,0.0,0.008091,8,0.633333,0.96575,0.522222,pairwise,0.973841,1.0,base_oracle,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.177778,0.022222,0.3,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.633333,0.973841,0.522222,4,8,-0.008091,0.0,8,0.633333,0.96575,1.0,pairwise,0.96575,1.0,generated_oracle,40,600,400,0.005,,19,0.033333,0.211111,0.033333,0.044444,0.088889,0.011111,0.022222,0.033333,0.477778,0.444444,0.022222,0.0,0.055556,0.25,interaction,interaction,90,2048,0.05,0.936605,180,0.968328
0.544444,0.960229,0.533333,4,8,0.037345,0.047624,8,0.6,0.949949,0.511111,pairwise,0.997574,1.0,static_base_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
0.533333,0.960229,0.0,4,8,0.037407,0.047686,8,0.6,0.949949,0.022222,pairwise,0.997636,1.0,static_generated_validation_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
0.566667,0.960229,0.355556,4,8,0.01534,0.02562,8,0.6,0.949949,0.444444,pairwise,0.975569,1.0,pairwise_generated_reranker,40,600,400,0.005,,23,0.033333,0.144444,0.011111,0.033333,0.077778,0.066667,0.044444,0.088889,0.5,0.366667,0.0,0.044444,0.088889,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
0.566667,0.960229,0.355556,4,8,0.01534,0.02562,8,0.6,0.949949,0.444444,pairwise,0.975569,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,23,0.033333,0.144444,0.011111,0.033333,0.077778,0.066667,0.044444,0.088889,0.5,0.366667,0.0,0.044444,0.088889,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
