causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,0,1.14651656,0,0.12794447,1.82206905,0.15558484,pairwise,0.2470926,0.01907363,77,11,0.45949954,0,0.23093466,1.03335845,1.01857209,0.0983893,0.53603053,0.90687293,0.0,2048
8,1,0,1,1,1.05850446,1,-0.45853567,1.70613956,0.14303187,pairwise,0.28403586,0.06109451,78,11,0.3948561,0,0.16780874,1.06714261,1.51704013,0.00907242,0.54124242,0.93613458,0.0,2048
8,1,0,1,0,0.73571241,0,-0.10241324,1.81625497,0.23227713,pairwise,0.20337732,0.03086203,79,11,0.43252045,1,0.20980325,1.04828477,0.83812565,0.05873787,0.53684735,0.63963652,0.0,2048
8,0,0,0,0,1.39555085,0,0.29296124,1.59232235,0.14043181,pairwise,0.24984844,0.04550252,80,11,0.45396036,0,0.14182661,1.05454087,1.10258961,0.12195015,0.54815185,0.92090011,0.0,2048
8,0,0,0,0,1.71293259,0,0.00482237,1.83413839,0.09899645,pairwise,0.25311571,0.08971902,81,11,0.45401803,0,0.21715923,1.03589034,1.70811021,0.08924404,0.53587729,0.68863708,0.0,2048
8,1,0,1,0,0.73831642,0,-0.09687674,1.81596613,0.31046867,pairwise,0.17539604,0.01676971,82,11,0.43379068,1,0.21064711,1.04704392,0.83519316,0.05968586,0.53681904,0.56073558,0.0,2048
8,0,0,0,0,1.1061554,0,0.1140272,1.77110362,0.14053276,pairwise,0.26790518,0.04293966,83,11,0.43755406,0,0.20395648,1.04615843,0.99212819,0.06676731,0.53817701,0.92065841,0.0,2048
8,1,0,0,0,1.54307282,1,-0.11500227,1.79547226,0.10175063,pairwise,0.2554881,0.04154488,84,11,0.43857837,0,0.20162998,1.04522276,1.65807509,0.06766215,0.53742653,0.76599157,0.0,2048
8,0,0,1,0,0.94307852,0,0.05471236,1.74923217,0.13916041,pairwise,0.2304976,0.04496031,85,11,0.41132724,1,0.1739752,1.05988574,0.88836616,0.03100559,0.53945285,0.64596641,0.0,2048
8,0,0,0,0,1.22563541,0,0.19548237,1.92892265,0.12924431,pairwise,0.2553122,0.05917759,86,11,0.47521266,0,0.25735417,1.02081788,1.03015304,0.11826032,0.53259212,0.5833593,0.0,2048
