"row_type","model","seed","train_mechanism","eval_mechanism","temperature","calibration_mode","mechanism_prior_strength","calibration_bias","background_objects","total_objects_n","samples","branch_accuracy","majority_accuracy","mse","nll","brier","ece","selected_k_mean","causal_recall_mean","dense_compute_ratio","seed_count"
"seed","wpu-cws-indexed-sparse","23","nominal","catch_heavy","1.0","mechanism_prior","0.75","-0.292692;-0.441062;0.733754","32","37","36","0.722222","0.722222","0.030328","0.776722","0.443085","0.112113","4.775","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","23","nominal","catch_heavy","1.0","mechanism_prior","1.0","-0.390256;-0.588082;0.978338","32","37","36","0.722222","0.722222","0.030328","0.74967","0.427338","0.055331","4.775","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","nominal","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.555556","0.5","0.042478","1.035229","0.624426","0.136388","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","nominal","1.0","mechanism_prior","0.25","-0.026861;0.061741;-0.034880","32","37","36","0.527778","0.5","0.042478","1.048868","0.63314","0.109664","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","nominal","1.0","mechanism_prior","0.5","-0.053723;0.123482;-0.069759","32","37","36","0.444444","0.5","0.042478","1.064467","0.643556","0.032084","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","nominal","1.0","mechanism_prior","0.75","-0.080584;0.185223;-0.104639","32","37","36","0.444444","0.5","0.042478","1.082057","0.655703","0.049394","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","nominal","1.0","mechanism_prior","1.0","-0.107446;0.246964;-0.139518","32","37","36","0.444444","0.5","0.042478","1.101663","0.669591","0.151858","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","high_force","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.472222","0.472222","0.648523","0.986319","0.587005","0.280555","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","high_force","1.0","mechanism_prior","0.25","-0.247701;0.298843;-0.051142","32","37","36","0.472222","0.472222","0.648523","1.029341","0.621623","0.145692","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","high_force","1.0","mechanism_prior","0.5","-0.495402;0.597685;-0.102283","32","37","36","0.472222","0.472222","0.648523","1.119648","0.684026","0.239662","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","high_force","1.0","mechanism_prior","0.75","-0.743103;0.896528;-0.153425","32","37","36","0.472222","0.472222","0.648523","1.249126","0.757191","0.317019","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","high_force","1.0","mechanism_prior","1.0","-0.990804;1.195371;-0.204567","32","37","36","0.472222","0.472222","0.648523","1.409024","0.827371","0.377019","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","edge_shift","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.722222","0.472222","0.570537","0.959685","0.569605","0.304345","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","edge_shift","1.0","mechanism_prior","0.25","-0.004489;0.260359;-0.255870","32","37","36","0.638889","0.472222","0.570537","0.902704","0.529604","0.188253","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","edge_shift","1.0","mechanism_prior","0.5","-0.008978;0.520718;-0.511739","32","37","36","0.583333","0.472222","0.570537","0.887221","0.527804","0.054111","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","edge_shift","1.0","mechanism_prior","0.75","-0.013467;0.781076;-0.767609","32","37","36","0.444444","0.472222","0.570537","0.908898","0.557121","0.205417","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","edge_shift","1.0","mechanism_prior","1.0","-0.017957;1.041435;-1.023478","32","37","36","0.444444","0.472222","0.570537","0.962272","0.607683","0.256927","4.3","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","catch_heavy","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.222222","0.694444","0.010738","1.090593","0.666769","0.221479","4.775","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","29","nominal","catch_heavy","1.0","mechanism_prior","0.25","-0.025638;-0.264515;0.290153","32","37","36","0.694444","0.694444","0.010738","0.935575","0.562542","0.27421","4.775","1.0","0.0","1"
