accuracy,budget,causal_k,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.5,4,8,0.019329,4,17,pairwise,400,0.976582,static_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,8,0.019111,4,17,pairwise,400,0.976364,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.477778,4,8,0.020693,4,17,pairwise,400,0.977946,cross_seed_regret_distilled_retriever,40,600,17,0.888889,0.9,90,2048,4,180,learned
0.488889,4,8,0.016885,4,17,pairwise,400,0.974138,cross_seed_regret_min1_obstacle,40,600,17,0.866667,1.366667,90,2048,4,180,learned
0.488889,4,8,0.020301,4,17,pairwise,400,0.977554,cross_seed_regret_min2_obstacles,40,600,17,0.733333,2.066667,90,2048,4,180,learned
0.511111,4,8,0.0,4,17,pairwise,400,0.957253,generated_oracle,40,600,17,0.722222,1.655556,90,2048,4,180,learned
0.533333,4,8,0.03599,4,19,pairwise,400,1.002764,static_validation_base_choice,40,600,19,1.0,2,90,2048,4,180,interaction
0.533333,4,8,0.03599,4,19,pairwise,400,1.002764,static_interaction,40,600,19,1.0,2,90,2048,4,180,interaction
0.533333,4,8,0.036025,4,19,pairwise,400,1.002799,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,interaction
0.533333,4,8,0.026916,4,19,pairwise,400,0.993691,cross_seed_regret_distilled_retriever,40,600,19,0.788889,1.133333,90,2048,4,180,interaction
0.511111,4,8,0.030206,4,19,pairwise,400,0.996981,cross_seed_regret_min1_obstacle,40,600,19,0.777778,1.522222,90,2048,4,180,interaction
0.544444,4,8,0.033065,4,19,pairwise,400,0.999839,cross_seed_regret_min2_obstacles,40,600,19,0.688889,2.111111,90,2048,4,180,interaction
0.644444,4,8,0.0,4,19,pairwise,400,0.966774,generated_oracle,40,600,19,0.633333,1.422222,90,2048,4,180,interaction
0.544444,4,8,0.046302,4,23,pairwise,400,0.997574,static_validation_base_choice,40,600,23,1.0,0,90,2048,4,180,indexed
0.544444,4,8,0.045348,4,23,pairwise,400,0.99662,static_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.544444,4,8,0.044863,4,23,pairwise,400,0.996135,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.544444,4,8,0.045691,4,23,pairwise,400,0.996963,cross_seed_regret_distilled_retriever,40,600,23,0.788889,1.388889,90,2048,4,180,indexed
0.533333,4,8,0.048284,4,23,pairwise,400,0.999556,cross_seed_regret_min1_obstacle,40,600,23,0.766667,1.644444,90,2048,4,180,indexed
0.511111,4,8,0.050447,4,23,pairwise,400,1.001719,cross_seed_regret_min2_obstacles,40,600,23,0.7,2.111111,90,2048,4,180,indexed
0.6,4,8,0.0,4,23,pairwise,400,0.951272,generated_oracle,40,600,23,0.633333,1.311111,90,2048,4,180,indexed
0.5,4,16,0.036723,4,11,pairwise,400,0.971821,static_validation_base_choice,40,600,11,1.0,2,90,2048,4,180,learned
0.5,4,16,0.036448,4,11,pairwise,400,0.971546,static_interaction,40,600,11,1.0,2,90,2048,4,180,learned
0.5,4,16,0.036723,4,11,pairwise,400,0.971821,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,learned
