accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_ablation,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.533333,0.960229,0.266667,4,8,no_identity_keep_type,0.046088,0.055045,4,0.6,0.951272,0.3,23,pairwise,1.006317,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,23,0.055556,0.277778,0.066667,0.011111,0.411111,0.366667,0.033333,0.022222,0.166667,generated_2,interaction,90,2048,0.950843,4,0.973633,180
0.533333,0.960229,0.266667,4,8,no_identity_keep_type,0.046088,0.055045,4,0.6,0.951272,0.3,23,pairwise,1.006317,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,23,0.055556,0.277778,0.066667,0.011111,0.411111,0.366667,0.033333,0.022222,0.166667,generated_2,interaction,90,2048,0.950843,4,0.973633,180
0.6,0.960229,1.0,4,8,no_identity_keep_type,0.0,0.008957,4,0.6,0.951272,0.644444,23,pairwise,0.960229,0.05,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.533333,0.177778,0.033333,0.255556,generated_2,interaction,90,2048,0.950843,4,0.973633,180
0.6,0.960229,0.644444,4,8,no_identity_keep_type,-0.008957,0.0,4,0.6,0.951272,1.0,23,pairwise,0.951272,0.05,generated_oracle,40,600,400,0.005,,23,0.011111,0.266667,0.055556,0.022222,0.355556,0.522222,0.0,0.0,0.122222,generated_2,interaction,90,2048,0.950843,4,0.973633,180
0.544444,0.960229,0.177778,4,8,no_identity_no_type,0.036391,0.045348,4,0.6,0.951272,0.0,23,pairwise,0.99662,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.533333,0.960229,0.0,4,8,no_identity_no_type,0.036788,0.045745,4,0.6,0.951272,0.055556,23,pairwise,0.997017,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.544444,0.960229,0.288889,4,8,no_identity_no_type,0.048952,0.057909,4,0.6,0.951272,0.288889,23,pairwise,1.009181,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,23,0.066667,0.244444,0.055556,0.022222,0.388889,0.455556,0.033333,0.033333,0.088889,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.544444,0.960229,0.288889,4,8,no_identity_no_type,0.048952,0.057909,4,0.6,0.951272,0.288889,23,pairwise,1.009181,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,23,0.066667,0.244444,0.055556,0.022222,0.388889,0.455556,0.033333,0.033333,0.088889,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.6,0.960229,1.0,4,8,no_identity_no_type,0.0,0.008957,4,0.6,0.951272,0.644444,23,pairwise,0.960229,0.05,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.533333,0.177778,0.033333,0.255556,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.6,0.960229,0.644444,4,8,no_identity_no_type,-0.008957,0.0,4,0.6,0.951272,1.0,23,pairwise,0.951272,0.05,generated_oracle,40,600,400,0.005,,23,0.011111,0.266667,0.055556,0.022222,0.355556,0.522222,0.0,0.0,0.122222,generated_2,interaction,90,2048,0.951,4,0.973633,180
0.5,0.943108,0.022222,4,16,no_identity_keep_type,0.028712,0.036723,4,0.544444,0.935098,0.011111,11,pairwise,0.971821,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.466667,0.943108,0.0,4,16,no_identity_keep_type,0.036222,0.044233,4,0.544444,0.935098,0.077778,11,pairwise,0.97933,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.477778,0.943108,0.355556,4,16,no_identity_keep_type,0.030054,0.038065,4,0.544444,0.935098,0.288889,11,pairwise,0.973163,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,11,0.044444,0.2,0.055556,0.011111,0.311111,0.411111,0.011111,0.0,0.266667,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.477778,0.943108,0.355556,4,16,no_identity_keep_type,0.030054,0.038065,4,0.544444,0.935098,0.288889,11,pairwise,0.973163,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,11,0.044444,0.2,0.055556,0.011111,0.311111,0.411111,0.011111,0.0,0.266667,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.522222,0.943108,1.0,4,16,no_identity_keep_type,0.0,0.008011,4,0.544444,0.935098,0.533333,11,pairwise,0.943108,0.05,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.377778,0.233333,0.022222,0.366667,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.544444,0.943108,0.533333,4,16,no_identity_keep_type,-0.008011,0.0,4,0.544444,0.935098,1.0,11,pairwise,0.935098,0.05,generated_oracle,40,600,400,0.005,,11,0.033333,0.3,0.077778,0.055556,0.466667,0.344444,0.022222,0.011111,0.155556,generated_2,learned,90,2048,0.866749,4,0.912281,180
0.5,0.943108,0.022222,4,16,no_identity_no_type,0.028712,0.036723,4,0.544444,0.935098,0.011111,11,pairwise,0.971821,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.866356,4,0.912281,180
0.466667,0.943108,0.0,4,16,no_identity_no_type,0.036222,0.044233,4,0.544444,0.935098,0.077778,11,pairwise,0.97933,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.866356,4,0.912281,180
