accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,generated_candidates,heldout_seed,interaction_mode,learned_generated_candidates,loss,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_generated_0_rate,selected_learned_generated_1_rate,selected_learned_generated_2_rate,selected_learned_generated_3_rate,selected_learned_generated_rate,selected_learned_rate,selected_proximity_rate,set_evaluator_steps,test_samples,total_objects_n,train_evaluator_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
0.488889,4,0.933227,16,600,0.024112,4,11,pairwise,4,0.95734,0.044444,learned_generated_oracle,40,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733333,0.244444,0.0,0.022222,1.0,0.0,0.0,600,90,2048,0.862253,4,0.912281,180
0.544444,4,0.933227,16,600,0.0,4,11,pairwise,4,0.933227,1.0,generated_plus_composition_oracle,40,600,400,11,0.3,0.022222,0.066667,0.388889,0.033333,0.188889,0.055556,0.033333,0.311111,0.111111,0.011111,0.022222,0.022222,0.0,0.0,0.044444,0.011111,0.122222,600,90,2048,0.862253,4,0.912281,180
0.522222,4,0.884097,16,600,0.061731,4,13,pairwise,4,0.945828,0.0,static_learned_interaction,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.870369,4,0.909903,180
0.5,4,0.884097,16,600,0.07412,4,13,pairwise,4,0.958217,0.166667,joint_candidate_generator_evaluator,40,600,400,13,0.044444,0.022222,0.011111,0.077778,0.044444,0.188889,0.033333,0.0,0.266667,0.433333,0.033333,0.044444,0.022222,0.0,0.0,0.066667,0.0,0.122222,600,90,2048,0.870369,4,0.909903,180
0.522222,4,0.884097,16,600,0.04624,4,13,pairwise,4,0.930337,0.055556,learned_generated_oracle,40,600,400,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744444,0.177778,0.0,0.077778,1.0,0.0,0.0,600,90,2048,0.870369,4,0.909903,180
0.555556,4,0.884097,16,600,0.0,4,13,pairwise,4,0.884097,1.0,generated_plus_composition_oracle,40,600,400,13,0.244444,0.044444,0.066667,0.355556,0.022222,0.177778,0.044444,0.0,0.244444,0.177778,0.011111,0.011111,0.022222,0.0,0.022222,0.055556,0.0,0.155556,600,90,2048,0.870369,4,0.909903,180
0.5,4,0.900791,16,600,0.031187,4,17,pairwise,4,0.931978,0.0,static_learned_interaction,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.857045,4,0.907513,180
0.511111,4,0.900791,16,600,0.024035,4,17,pairwise,4,0.924826,0.133333,joint_candidate_generator_evaluator,40,600,400,17,0.088889,0.011111,0.0,0.1,0.033333,0.311111,0.055556,0.0,0.4,0.2,0.022222,0.022222,0.033333,0.0,0.011111,0.066667,0.022222,0.188889,600,90,2048,0.857045,4,0.907513,180
0.511111,4,0.900791,16,600,0.020578,4,17,pairwise,4,0.921369,0.055556,learned_generated_oracle,40,600,400,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844444,0.122222,0.0,0.033333,1.0,0.0,0.0,600,90,2048,0.857045,4,0.907513,180
0.522222,4,0.900791,16,600,0.0,4,17,pairwise,4,0.900791,1.0,generated_plus_composition_oracle,40,600,400,17,0.266667,0.011111,0.0,0.277778,0.111111,0.1,0.066667,0.088889,0.366667,0.177778,0.011111,0.033333,0.011111,0.0,0.011111,0.055556,0.0,0.111111,600,90,2048,0.857045,4,0.907513,180
0.488889,4,0.929363,16,600,0.043588,4,19,pairwise,4,0.972951,0.0,static_learned_interaction,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,90,2048,0.875187,4,0.923252,180
0.5,4,0.929363,16,600,0.044075,4,19,pairwise,4,0.973438,0.166667,joint_candidate_generator_evaluator,40,600,400,19,0.044444,0.0,0.022222,0.066667,0.066667,0.3,0.044444,0.0,0.411111,0.333333,0.044444,0.011111,0.011111,0.0,0.0,0.022222,0.011111,0.111111,600,90,2048,0.875187,4,0.923252,180
0.511111,4,0.929363,16,600,0.036981,4,19,pairwise,4,0.966344,0.033333,learned_generated_oracle,40,600,400,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777778,0.188889,0.0,0.033333,1.0,0.0,0.0,600,90,2048,0.875187,4,0.923252,180
