accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,learned_safe_candidates,loss,loss_generator_propagation_steps,loss_generator_random_candidates,loss_generator_structured_candidates,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,safe_generator_mode,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_learned_safe_0_rate,selected_learned_safe_1_rate,selected_learned_safe_2_rate,selected_learned_safe_3_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach,verification_head,verification_head_weight,verification_score_penalty
0.0,0.555556,4,0.888711,16,0.019873,4,0.0,23,pairwise,120,4,0.908584,80,4,4,0.011111,0.25,0.3,static_learned_interaction,400,loss,0.0,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183333,0.213254,0.016667,0.857984,confidence_t0p35,4,90,2048,0.116667,0.858447,4,0.863137,0,180,1,1,0,0.4,1.0
0.388889,0.577778,4,0.888711,16,0.022487,4,0.155556,23,pairwise,120,4,0.911198,80,4,4,0.133333,0.25,0.3,joint_selector_propagator,400,loss,0.0,23,0.0,0.35,0.0,0.011111,0.0,0.0,0.011111,0.211111,0.0,0.611111,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.066667,0.0,0.183333,0.213254,0.016667,0.857984,confidence_t0p35,4,90,2048,0.116667,0.858447,4,0.863137,0,180,1,1,0,0.4,1.0
0.155556,0.555556,4,0.888711,16,0.019155,4,0.022222,23,pairwise,120,4,0.907866,80,4,4,0.088889,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.011111,0.0,0.844444,0.0,0.0,0.0,0.0,0.077778,0.0,0.0,0.066667,0.0,0.183333,0.213254,0.016667,0.857984,confidence_t0p35,4,90,2048,0.116667,0.858447,4,0.863137,0,180,1,1,0,0.4,1.0
0.155556,0.555556,4,0.888711,16,0.019155,4,0.022222,23,pairwise,120,4,0.907866,80,4,4,0.088889,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,23,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.011111,0.0,0.844444,0.0,0.0,0.0,0.0,0.077778,0.0,0.0,0.066667,0.0,0.183333,0.213254,0.016667,0.857984,confidence_t0p35,4,90,2048,0.116667,0.858447,4,0.863137,0,180,1,1,0,0.4,1.0
0.988889,0.588889,4,0.888711,16,0.0,4,0.0,23,pairwise,120,4,0.888711,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,23,0.0,0.35,0.144444,0.144444,0.1,0.055556,0.444444,0.233333,0.0,0.011111,0.022222,0.055556,0.011111,0.011111,0.111111,0.0,0.022222,0.077778,0.0,0.183333,0.213254,0.016667,0.857984,confidence_t0p35,4,90,2048,0.116667,0.858447,4,0.863137,0,180,1,1,0,0.4,1.0
0.0,0.411111,4,1.032854,32,0.018451,4,0.0,11,pairwise,120,4,1.051305,80,4,4,0.011111,0.25,0.3,static_learned_interaction,400,loss,0.0,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011934,confidence_t0p35,4,90,2048,0.35,1.012186,4,1.011934,0,180,1,1,0,0.4,1.0
0.8,0.411111,4,1.032854,32,0.01842,4,0.422222,11,pairwise,120,4,1.051275,80,4,4,0.2,0.25,0.3,joint_selector_propagator,400,loss,0.0,11,0.0,0.35,0.0,0.033333,0.0,0.0,0.033333,0.744444,0.0,0.2,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011934,confidence_t0p35,4,90,2048,0.35,1.012186,4,1.011934,0,180,1,1,0,0.4,1.0
0.0,0.411111,4,1.032854,32,0.018451,4,0.0,11,pairwise,120,4,1.051305,80,4,4,0.011111,0.25,0.3,confidence_selected_joint_selector_propagator,400,loss,0.0,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011934,confidence_t0p35,4,90,2048,0.35,1.012186,4,1.011934,0,180,1,1,0,0.4,1.0
0.0,0.411111,4,1.032854,32,0.018451,4,0.0,11,pairwise,120,4,1.051305,80,4,4,0.011111,0.25,0.3,train_selected_joint_selector_propagator,400,loss,0.0,11,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011934,confidence_t0p35,4,90,2048,0.35,1.012186,4,1.011934,0,180,1,1,0,0.4,1.0
0.988889,0.422222,4,1.032854,32,0.0,4,0.0,11,pairwise,120,4,1.032854,80,4,4,1.0,0.25,0.3,generated_plus_composition_oracle,400,loss,0.0,11,0.0,0.35,0.077778,0.188889,0.1,0.044444,0.411111,0.2,0.0,0.011111,0.044444,0.111111,0.044444,0.022222,0.088889,0.0,0.044444,0.022222,0.0,0.0,0.0,0.0,1.011934,confidence_t0p35,4,90,2048,0.35,1.012186,4,1.011934,0,180,1,1,0,0.4,1.0
