mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
hybrid_escalation_region,2048,8,0.95,0.5,0.0,0.160677,0.286997,0.445944,0.360307,8.0,4.203125,8,0.00594888,0.00778589,0.0,3.796875
sparse_confident_relations,2048,8,0.95,0.5,0.25,0.143503,0.260036,0.417822,0.343455,8.0,4.515625,8,0.00706831,0.00875061,1.0,3.484375
hybrid_escalation_region,2048,8,0.95,0.5,0.25,0.002343,0.037478,0.417822,0.005607,8.0,8.0,8,0.00706831,0.00875061,1.0,0.0
sparse_confident_relations,2048,8,0.2,0.0,0.0,0.299098,0.500646,0.439344,0.680784,8.0,1.0,8,0.00778589,0.00778589,1.0,7.0
hybrid_escalation_region,2048,8,0.2,0.0,0.0,0.00214,0.03394,0.439344,0.00487,8.0,8.0,8,0.00778589,0.00778589,1.0,0.0
sparse_confident_relations,2048,8,0.2,0.0,0.25,0.277491,0.479184,0.407169,0.681513,8.0,1.0,8,0.00875061,0.00875061,1.0,7.0
hybrid_escalation_region,2048,8,0.2,0.0,0.25,0.00231,0.034936,0.407169,0.005672,8.0,8.0,8,0.00875061,0.00875061,1.0,0.0
sparse_confident_relations,2048,8,0.2,0.5,0.0,0.278608,0.478975,0.408695,0.681703,8.0,1.0,8,0.0060548,0.00778589,0.992188,7.0
hybrid_escalation_region,2048,8,0.2,0.5,0.0,0.004455,0.041314,0.408695,0.0109,8.0,7.945312,8,0.0060548,0.00778589,0.992188,0.054688
sparse_confident_relations,2048,8,0.2,0.5,0.25,0.282565,0.482166,0.414518,0.681672,8.0,1.0,8,0.00707204,0.00875061,1.0,7.0
hybrid_escalation_region,2048,8,0.2,0.5,0.25,0.002459,0.036709,0.414518,0.005933,8.0,8.0,8,0.00707204,0.00875061,1.0,0.0
sparse_confident_relations,2048,16,0.95,0.0,0.0,0.002675,0.041405,0.316402,0.008455,16.0,16.0,16,0.01551139,0.01551139,0.0,0.0
hybrid_escalation_region,2048,16,0.95,0.0,0.0,0.002675,0.041405,0.316402,0.008455,16.0,16.0,16,0.01551139,0.01551139,0.0,0.0
sparse_confident_relations,2048,16,0.95,0.0,0.25,0.002812,0.042483,0.306442,0.009176,16.0,16.0,16,0.01741655,0.01741655,1.0,0.0
hybrid_escalation_region,2048,16,0.95,0.0,0.25,0.002812,0.042483,0.306442,0.009176,16.0,16.0,16,0.01741655,0.01741655,1.0,0.0
sparse_confident_relations,2048,16,0.95,0.5,0.0,0.12135,0.246413,0.31089,0.390331,16.0,8.539062,16,0.01193709,0.01455604,0.0,7.460938
hybrid_escalation_region,2048,16,0.95,0.5,0.0,0.12135,0.246413,0.31089,0.390331,16.0,8.539062,16,0.01193709,0.01455604,0.0,7.460938
sparse_confident_relations,2048,16,0.95,0.5,0.25,0.120985,0.249653,0.293325,0.412461,16.0,8.257812,16,0.01372155,0.01598837,1.0,7.742188
hybrid_escalation_region,2048,16,0.95,0.5,0.25,0.002488,0.040676,0.293325,0.008483,16.0,16.0,16,0.01372155,0.01598837,1.0,0.0
sparse_confident_relations,2048,16,0.2,0.0,0.0,0.270928,0.483833,0.347441,0.779782,16.0,1.0,16,0.01551139,0.01551139,1.0,15.0
hybrid_escalation_region,2048,16,0.2,0.0,0.0,0.0026,0.039419,0.347441,0.007482,16.0,16.0,16,0.01551139,0.01551139,1.0,0.0
sparse_confident_relations,2048,16,0.2,0.0,0.25,0.237688,0.451247,0.304729,0.779997,16.0,1.0,16,0.01741655,0.01741655,1.0,15.0
hybrid_escalation_region,2048,16,0.2,0.0,0.25,0.002276,0.036757,0.304729,0.007467,16.0,16.0,16,0.01741655,0.01741655,1.0,0.0
sparse_confident_relations,2048,16,0.2,0.5,0.0,0.248431,0.463099,0.318593,0.779776,16.0,1.0,16,0.01188842,0.01407767,1.0,15.0
hybrid_escalation_region,2048,16,0.2,0.5,0.0,0.002297,0.038355,0.318593,0.007211,16.0,16.0,16,0.01188842,0.01407767,1.0,0.0
sparse_confident_relations,2048,16,0.2,0.5,0.25,0.244383,0.456194,0.313257,0.780136,16.0,1.0,16,0.0138373,0.01646489,1.0,15.0
hybrid_escalation_region,2048,16,0.2,0.5,0.25,0.002585,0.040569,0.313257,0.008251,16.0,16.0,16,0.0138373,0.01646489,1.0,0.0
sparse_confident_relations,8192,4,0.95,0.0,0.0,0.003518,0.048513,0.521683,0.006744,4.0,4.0,4,0.00097621,0.00097621,0.0,0.0
