row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.160809,1.217648,0.711931,0.141177,4.4375,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.6875,0.225841,0.910059,0.570071,0.024713,4.4375,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.224724,2.160299,1.169479,0.462253,4.9375,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.5625,0.226532,0.782302,0.457695,0.270609,4.0625,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.167565,0.866932,0.563481,0.18928,4.4375,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.75,0.22526,1.107921,0.667121,0.14977,4.9375,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5625,0.405021,1.45249,0.828702,0.111407,4.5625,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.4375,0.423231,1.361997,0.798547,0.222053,4.5625,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.75,0.405622,0.914115,0.541528,0.263586,4.5625,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.9375,0.405235,1.934955,1.096684,0.486401,4.9375,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.407187,0.879427,0.536911,0.076092,4.0625,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.5,0.428425,0.917532,0.570268,0.027943,4.5625,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.75,0.405834,0.975422,0.569475,0.263591,4.9375,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.625,0.375968,1.916328,0.980446,0.360364,4.625,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.5,0.315262,1.724604,0.90564,0.287715,4.625,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.377796,1.209006,0.680352,0.065739,4.625,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.875,0.376058,2.388158,1.198391,0.496786,4.875,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.378743,0.85017,0.523834,0.297831,4.0625,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.4375,0.319987,1.133567,0.664522,0.225213,4.625,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.625,0.377885,1.195544,0.667974,0.128221,4.875,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.165521,1.12268,0.674193,0.214183,4.4375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.4375,0.168818,1.11688,0.681222,0.139487,4.4375,1.0,1.0,1
