row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,0,512,3,516,516,4,4,0.938403,34100,308,0.990968,16.794300,0.192500,0.988538,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,77.059033,1.180900,1.545267,0.984675,0.979947,1
sample,13,0,512,8,516,516,4,4,0.938403,34100,308,0.990968,16.781800,0.206400,0.987701,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,78.842767,0.898567,2.478367,0.988603,0.968566,1
sample,13,1,512,1,516,516,4,4,0.938403,34100,308,0.990968,17.348600,0.228100,0.986852,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,80.028867,1.445433,1.564300,0.981939,0.980453,1
sample,13,1,512,3,516,516,4,4,0.938403,34100,308,0.990968,17.067700,0.214200,0.987450,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,78.204767,0.857633,1.478167,0.989033,0.981099,1
sample,13,1,512,8,516,516,4,4,0.938403,34100,308,0.990968,16.520000,0.194000,0.988257,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,75.395733,0.878733,1.518400,0.988345,0.979861,1
sample,13,2,512,1,517,517,5,5,0.938491,34166,374,0.989053,16.652100,0.251300,0.984909,78584,760,0.990329,272,78856,78584,0.000000,267289,25,0.999906,71.842800,1.167633,1.772233,0.983747,0.975332,1
sample,13,2,512,3,517,517,5,5,0.938491,34166,374,0.989053,12.681800,0.265900,0.979033,78584,760,0.990329,816,79400,235752,0.663205,801867,75,0.999906,72.321667,0.892833,1.525133,0.987655,0.978912,1
sample,13,2,512,8,517,517,5,5,0.938491,34166,374,0.989053,17.114600,0.263900,0.984580,78584,760,0.990329,2176,80760,628672,0.871539,2138312,200,0.999906,76.326833,0.903100,1.553333,0.988168,0.979649,1
sample,13,3,512,1,517,517,5,5,0.938491,34166,374,0.989053,15.136300,0.253400,0.983259,78584,760,0.990329,272,78856,78584,0.000000,267289,25,0.999906,75.841600,0.857133,1.549933,0.988698,0.979564,1
sample,13,3,512,3,517,517,5,5,0.938491,34166,374,0.989053,16.693900,0.235500,0.985893,78584,760,0.990329,816,79400,235752,0.663205,801867,75,0.999906,74.156600,0.936467,1.540433,0.987372,0.979227,1
