mode,total_n,dual_omission,escape_rate,observation_budget,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,observation_hit_rate,observation_cost,work_proxy,bytes_proxy
wpu-uncertainty-observation,8192,0.75,0.0,8,25,24,32.0,32.0,0.947917,0.236979,0.098083,0.912085,24.416667,0.0,8.0,32.0,1152.0
dense-state-copy,8192,0.75,0.0,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.25,0,25,24,24.0,24.0,0.760417,0.253472,0.160828,0.866547,17.916667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.25,0,25,24,24.0,24.0,0.796875,0.265625,0.146313,0.874563,17.625,0.0,0.0,24.0,864.0
dense-state-copy,8192,0.75,0.25,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.25,2,25,24,24.0,24.0,0.703125,0.234375,0.190986,0.844043,18.375,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.25,2,25,24,32.0,32.0,0.947917,0.236979,0.092228,0.916504,24.416667,0.777778,2.0,32.0,1152.0
dense-state-copy,8192,0.75,0.25,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.25,4,25,24,24.0,24.0,0.734375,0.244792,0.170731,0.857349,18.125,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.25,4,25,24,32.0,32.0,0.96875,0.242188,0.084575,0.922649,24.25,0.791667,4.0,32.0,1152.0
dense-state-copy,8192,0.75,0.25,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.25,8,25,24,24.0,24.0,0.75,0.25,0.166492,0.861033,18.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.25,8,25,24,32.0,32.0,0.953125,0.238281,0.093977,0.915031,24.375,0.833333,8.0,32.0,1152.0
dense-state-copy,8192,0.75,0.25,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.5,0,25,24,24.0,24.0,0.510417,0.170139,0.271756,0.788205,19.916667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.5,0,25,24,24.0,24.0,0.567708,0.189236,0.250337,0.802344,19.458333,0.0,0.0,24.0,864.0
dense-state-copy,8192,0.75,0.5,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.5,2,25,24,24.0,24.0,0.578125,0.192708,0.248487,0.805513,19.375,0.0,0.0,24.0,864.0
