row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,full_graph_peak_memory_bytes,selected_sparse_peak_memory_bytes,selected_local_dense_peak_memory_bytes,sparse_peak_memory_reduction,local_dense_peak_memory_reduction,sample_count
sample,11,1,2048,8,2053,2053,5,5,0.938124,135542,374,0.997241,41.378800,0.157200,0.996201,312056,760,0.997565,2176,314232,2496448,0.874128,33718472,200,0.999994,580.235820,2.303720,3.329880,0.996030,0.994261,15532032.000,10807808.000,10806784.000,0.304160,0.304226,1
sample,11,2,2048,1,2052,2052,4,4,0.938101,135476,308,0.997727,40.760300,0.167500,0.995891,311904,608,0.998051,272,312176,311904,0.000000,4210704,16,0.999996,582.293020,2.144880,3.182560,0.996316,0.994534,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,2,2048,3,2052,2052,4,4,0.938101,135476,308,0.997727,41.311200,0.136800,0.996689,311904,608,0.998051,816,312720,935712,0.665795,12632112,48,0.999996,580.957700,2.197160,3.173700,0.996218,0.994537,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,2,2048,8,2052,2052,4,4,0.938101,135476,308,0.997727,41.350400,0.139400,0.996629,311904,608,0.998051,2176,314080,2495232,0.874128,33685632,128,0.999996,585.200340,2.152320,3.174060,0.996322,0.994576,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,3,2048,1,2052,2052,4,4,0.938101,135476,308,0.997727,40.403700,0.138300,0.996577,311904,608,0.998051,272,312176,311904,0.000000,4210704,16,0.999996,583.953460,2.167160,3.261620,0.996289,0.994415,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,3,2048,3,2052,2052,4,4,0.938101,135476,308,0.997727,41.464200,0.140900,0.996602,311904,608,0.998051,816,312720,935712,0.665795,12632112,48,0.999996,580.758480,2.149720,3.206460,0.996298,0.994479,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,11,3,2048,8,2052,2052,4,4,0.938101,135476,308,0.997727,41.679900,0.138600,0.996675,311904,608,0.998051,2176,314080,2495232,0.874128,33685632,128,0.999996,580.220320,2.213080,3.268620,0.996186,0.994367,15528448.000,10807296.000,10806272.000,0.304032,0.304098,1
sample,13,0,0,1,4,4,4,4,0.990000,308,308,0.000000,0.171900,0.119000,0.307737,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,2.826500,2.125060,3.188760,0.248166,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,0,0,3,4,4,4,4,0.990000,308,308,0.000000,0.167200,0.118200,0.293062,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.789280,2.166300,3.263200,0.223348,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,0,0,8,4,4,4,4,0.990000,308,308,0.000000,0.152400,0.115900,0.239501,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.835320,2.170180,3.261280,0.234591,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,1,0,1,4,4,4,4,0.990000,308,308,0.000000,0.146700,0.118000,0.195638,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,2.757080,2.147520,3.237840,0.221089,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,1,0,3,4,4,4,4,0.990000,308,308,0.000000,0.150100,0.116800,0.221852,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.850660,2.180820,3.194360,0.234977,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,1,0,8,4,4,4,4,0.990000,308,308,0.000000,0.160100,0.118700,0.258589,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.794660,2.122720,3.202680,0.240437,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,13,2,0,1,5,5,5,5,0.988800,374,374,0.000000,0.156700,0.134700,0.140396,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,3.078280,2.259680,3.317080,0.265928,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,13,2,0,3,5,5,5,5,0.988800,374,374,0.000000,0.171900,0.135400,0.212333,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,3.058560,2.316200,3.360240,0.242716,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,13,2,0,8,5,5,5,5,0.988800,374,374,0.000000,0.173700,0.137300,0.209556,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,3.072500,2.255120,3.308200,0.266031,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,13,3,0,1,5,5,5,5,0.988800,374,374,0.000000,0.164000,0.136600,0.167072,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,3.058660,2.277400,3.220280,0.255426,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
