accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed
0.0,0.466667,4,0.978635,16,0.053002,4,0.0,17,pairwise,60,1.031638,0.0,0.25,0.0,static_learned_interaction,120,0.2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.398012,0.366667,0.964623,confidence_t0,4,45,2048,0.366667,0.964623,4,0.983806,0,60
1.0,0.466667,4,0.978635,16,0.057968,4,0.488889,17,pairwise,60,1.036603,0.177778,0.25,0.0,joint_selector_propagator,120,0.2,17,0.0,0.0,0.0,0.555556,0.0,0.0,0.555556,0.044444,0.022222,0.0,0.377778,0.0,0.0,0.0,0.0,1.0,0.398012,0.366667,0.964623,confidence_t0,4,45,2048,0.366667,0.964623,4,0.983806,0,60
1.0,0.466667,4,0.978635,16,0.057968,4,0.488889,17,pairwise,60,1.036603,0.177778,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,17,0.0,0.0,0.0,0.555556,0.0,0.0,0.555556,0.044444,0.022222,0.0,0.377778,0.0,0.0,0.0,0.0,1.0,0.398012,0.366667,0.964623,confidence_t0,4,45,2048,0.366667,0.964623,4,0.983806,0,60
1.0,0.466667,4,0.978635,16,0.057968,4,0.488889,17,pairwise,60,1.036603,0.177778,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,17,0.0,0.0,0.0,0.555556,0.0,0.0,0.555556,0.044444,0.022222,0.0,0.377778,0.0,0.0,0.0,0.0,1.0,0.398012,0.366667,0.964623,confidence_t0,4,45,2048,0.366667,0.964623,4,0.983806,0,60
1.0,0.511111,4,0.978635,16,0.0,4,0.0,17,pairwise,60,0.978635,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,17,0.0,0.0,0.044444,0.2,0.044444,0.133333,0.422222,0.288889,0.044444,0.0,0.044444,0.0,0.066667,0.133333,0.0,1.0,0.398012,0.366667,0.964623,confidence_t0,4,45,2048,0.366667,0.964623,4,0.983806,0,60
0.0,0.422222,4,1.019091,16,0.052633,4,0.0,19,pairwise,60,1.071723,0.022222,0.25,0.0,static_learned_interaction,120,0.2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.107509,0.483333,0.858949,confidence_t0,4,45,2048,0.483333,0.858949,4,0.863518,0,60
1.0,0.422222,4,1.019091,16,0.040023,4,0.511111,19,pairwise,60,1.059113,0.288889,0.25,0.0,joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.622222,0.0,0.0,0.622222,0.177778,0.0,0.0,0.177778,0.0,0.0,0.022222,0.0,1.0,0.107509,0.483333,0.858949,confidence_t0,4,45,2048,0.483333,0.858949,4,0.863518,0,60
1.0,0.422222,4,1.019091,16,0.040023,4,0.511111,19,pairwise,60,1.059113,0.288889,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.622222,0.0,0.0,0.622222,0.177778,0.0,0.0,0.177778,0.0,0.0,0.022222,0.0,1.0,0.107509,0.483333,0.858949,confidence_t0,4,45,2048,0.483333,0.858949,4,0.863518,0,60
1.0,0.422222,4,1.019091,16,0.040023,4,0.511111,19,pairwise,60,1.059113,0.288889,0.25,0.0,train_selected_joint_selector_propagator,120,0.2,19,0.0,0.0,0.0,0.622222,0.0,0.0,0.622222,0.177778,0.0,0.0,0.177778,0.0,0.0,0.022222,0.0,1.0,0.107509,0.483333,0.858949,confidence_t0,4,45,2048,0.483333,0.858949,4,0.863518,0,60
0.977778,0.466667,4,1.019091,16,0.0,4,0.0,19,pairwise,60,1.019091,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.2,19,0.0,0.0,0.066667,0.222222,0.022222,0.177778,0.488889,0.244444,0.022222,0.022222,0.066667,0.0,0.066667,0.088889,0.0,1.0,0.107509,0.483333,0.858949,confidence_t0,4,45,2048,0.483333,0.858949,4,0.863518,0,60
