accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,excess_over_candidate_oracle,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,joint_steps,loss,oracle_match_rate,pairwise_no_harm_margin,pairwise_no_harm_weight,policy,retriever_steps,score_regression_weight,seed,selected_composition_rate,selected_confidence_threshold,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selected_structured_0_rate,selected_structured_1_rate,selected_structured_2_rate,selected_structured_3_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,structured_candidates,test_samples,total_objects_n,train_joint_selector_harmful_accept_rate,train_joint_selector_loss,train_seed_count,train_static_learned_loss,use_geometry_context,validation_samples_per_seed,verification_context,verification_context_detach
0.0,0.466667,4,1.015839,32,0.046057,4,0.0,17,pairwise,60,1.061896,0.0,0.25,0.0,static_learned_interaction,120,0.0,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.084657,0.1,1.00174,confidence_t0p45,4,45,2048,0.583333,1.007527,4,1.005257,0,60,1,1
1.0,0.466667,4,1.015839,32,0.046396,4,0.555556,17,pairwise,60,1.062235,0.422222,0.25,0.0,joint_selector_propagator,120,0.0,17,0.0,0.45,0.0,0.022222,0.0,0.0,0.022222,0.977778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.084657,0.1,1.00174,confidence_t0p45,4,45,2048,0.583333,1.007527,4,1.005257,0,60,1,1
0.244444,0.488889,4,1.015839,32,0.035231,4,0.022222,17,pairwise,60,1.05107,0.222222,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.244444,0.0,0.755556,0.0,0.0,0.0,0.0,0.0,0.3,0.084657,0.1,1.00174,confidence_t0p45,4,45,2048,0.583333,1.007527,4,1.005257,0,60,1,1
0.244444,0.488889,4,1.015839,32,0.035231,4,0.022222,17,pairwise,60,1.05107,0.222222,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,17,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.244444,0.0,0.755556,0.0,0.0,0.0,0.0,0.0,0.3,0.084657,0.1,1.00174,confidence_t0p45,4,45,2048,0.583333,1.007527,4,1.005257,0,60,1,1
1.0,0.533333,4,1.015839,32,0.0,4,0.0,17,pairwise,60,1.015839,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,17,0.0,0.45,0.022222,0.377778,0.0,0.0,0.4,0.4,0.0,0.0,0.111111,0.022222,0.0,0.066667,0.0,0.3,0.084657,0.1,1.00174,confidence_t0p45,4,45,2048,0.583333,1.007527,4,1.005257,0,60,1,1
0.0,0.511111,4,1.032198,32,0.037612,4,0.0,19,pairwise,60,1.06981,0.0,0.25,0.0,static_learned_interaction,120,0.0,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.266667,0.134632,0.05,0.948792,confidence_t0p45,4,45,2048,0.533333,0.952799,4,0.953584,0,60,1,1
1.0,0.488889,4,1.032198,32,0.041749,4,0.511111,19,pairwise,60,1.073947,0.377778,0.25,0.0,joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.977778,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.266667,0.134632,0.05,0.948792,confidence_t0p45,4,45,2048,0.533333,0.952799,4,0.953584,0,60,1,1
0.222222,0.511111,4,1.032198,32,0.031737,4,0.044444,19,pairwise,60,1.063935,0.155556,0.25,0.0,confidence_selected_joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.266667,0.134632,0.05,0.948792,confidence_t0p45,4,45,2048,0.533333,0.952799,4,0.953584,0,60,1,1
0.222222,0.511111,4,1.032198,32,0.031737,4,0.044444,19,pairwise,60,1.063935,0.155556,0.25,0.0,train_selected_joint_selector_propagator,120,0.0,19,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.222222,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,0.266667,0.134632,0.05,0.948792,confidence_t0p45,4,45,2048,0.533333,0.952799,4,0.953584,0,60,1,1
1.0,0.533333,4,1.032198,32,0.0,4,0.0,19,pairwise,60,1.032198,1.0,0.25,0.0,generated_plus_composition_oracle,120,0.0,19,0.0,0.45,0.0,0.355556,0.022222,0.0,0.377778,0.377778,0.0,0.0,0.155556,0.0,0.044444,0.044444,0.0,0.266667,0.134632,0.05,0.948792,confidence_t0p45,4,45,2048,0.533333,0.952799,4,0.953584,0,60,1,1
