mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-hand-adaptive,noisy_anomaly,512,0.75,1.235341,-0.219902,32.0,32.0,4.5,0.773438,0.176251,0.852582,0.674107,0.243751,32.0,1152.0
wpu-learned-observation,noisy_anomaly,512,0.75,1.235341,-0.219902,32.0,32.0,6.0,0.769531,0.17805,0.85191,0.676116,0.26805,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,512,0.75,1.235341,-0.219902,32.0,32.0,4.40625,0.90625,0.112792,0.899696,0.938467,0.178886,32.0,1152.0
wpu-fixed-observation,noisy_anomaly,512,0.75,1.235341,-0.219902,32.0,32.0,8.0,0.84375,0.142493,0.877547,0.799256,0.262493,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.75,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,noisy_anomaly,2048,0.0,1.235341,-0.219902,24.0,24.0,0.0,0.941406,0.080505,0.926696,0.0,0.080505,24.0,864.0
wpu-learned-observation,noisy_anomaly,2048,0.0,1.235341,-0.219902,32.0,32.0,5.9375,0.941406,0.098308,0.911593,0.0,0.18737,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,2048,0.0,1.235341,-0.219902,26.25,32.0,0.375,0.933594,0.089099,0.919387,0.0,0.094724,26.25,945.0
wpu-fixed-observation,noisy_anomaly,2048,0.0,1.235341,-0.219902,32.0,32.0,8.0,0.945312,0.096072,0.913391,0.0,0.216072,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.0,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,noisy_anomaly,2048,0.25,1.235341,-0.219902,31.0,32.0,1.59375,0.855469,0.135699,0.883084,0.502604,0.159606,31.0,1116.0
wpu-learned-observation,noisy_anomaly,2048,0.25,1.235341,-0.219902,32.0,32.0,6.0,0.917969,0.109774,0.902546,0.710938,0.199774,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,2048,0.25,1.235341,-0.219902,29.5,32.0,1.5625,0.921875,0.102184,0.908259,0.598958,0.125622,29.5,1062.0
wpu-fixed-observation,noisy_anomaly,2048,0.25,1.235341,-0.219902,32.0,32.0,8.0,0.9375,0.097726,0.911804,0.682292,0.217726,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.25,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,noisy_anomaly,2048,0.5,1.235341,-0.219902,31.75,32.0,3.21875,0.839844,0.143974,0.876143,0.665699,0.192256,31.75,1143.0
wpu-learned-observation,noisy_anomaly,2048,0.5,1.235341,-0.219902,32.0,32.0,6.0,0.902344,0.11714,0.89657,0.844271,0.20714,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,2048,0.5,1.235341,-0.219902,31.75,32.0,3.03125,0.925781,0.105993,0.905278,0.869792,0.151461,31.75,1143.0
wpu-fixed-observation,noisy_anomaly,2048,0.5,1.235341,-0.219902,32.0,32.0,8.0,0.863281,0.136807,0.881758,0.803125,0.256807,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.5,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,noisy_anomaly,2048,0.75,1.235341,-0.219902,32.0,32.0,4.3125,0.785156,0.172153,0.855077,0.65253,0.236841,32.0,1152.0
wpu-learned-observation,noisy_anomaly,2048,0.75,1.235341,-0.219902,32.0,32.0,6.0,0.773438,0.176568,0.853249,0.652009,0.266568,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,2048,0.75,1.235341,-0.219902,32.0,32.0,4.65625,0.914062,0.110532,0.901928,0.924554,0.180375,32.0,1152.0
wpu-fixed-observation,noisy_anomaly,2048,0.75,1.235341,-0.219902,32.0,32.0,8.0,0.828125,0.145961,0.874533,0.755432,0.265961,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.75,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,noisy_anomaly,8192,0.0,1.235341,-0.219902,24.0,24.0,0.0,0.941406,0.083216,0.924067,0.0,0.083216,24.0,864.0
wpu-learned-observation,noisy_anomaly,8192,0.0,1.235341,-0.219902,32.0,32.0,6.0,0.964844,0.088684,0.919154,0.0,0.178684,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,8192,0.0,1.235341,-0.219902,26.25,32.0,0.375,0.9375,0.085514,0.922307,0.0,0.091139,26.25,945.0
wpu-fixed-observation,noisy_anomaly,8192,0.0,1.235341,-0.219902,32.0,32.0,8.0,0.964844,0.087006,0.920582,0.0,0.207006,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.0,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,noisy_anomaly,8192,0.25,1.235341,-0.219902,31.5,32.0,1.6875,0.894531,0.115732,0.89776,0.644792,0.141045,31.5,1134.0
wpu-learned-observation,noisy_anomaly,8192,0.25,1.235341,-0.219902,32.0,32.0,6.0,0.925781,0.105755,0.905667,0.689583,0.195755,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,8192,0.25,1.235341,-0.219902,30.25,32.0,1.59375,0.910156,0.107163,0.90457,0.65625,0.131069,30.25,1089.0
wpu-fixed-observation,noisy_anomaly,8192,0.25,1.235341,-0.219902,32.0,32.0,8.0,0.902344,0.115149,0.898074,0.531771,0.235149,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.25,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,noisy_anomaly,8192,0.5,1.235341,-0.219902,32.0,32.0,3.53125,0.824219,0.151686,0.870508,0.613021,0.204655,32.0,1152.0
wpu-learned-observation,noisy_anomaly,8192,0.5,1.235341,-0.219902,32.0,32.0,6.0,0.863281,0.135081,0.883383,0.742187,0.225081,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,8192,0.5,1.235341,-0.219902,31.5,32.0,2.875,0.90625,0.111392,0.900718,0.773958,0.154517,31.5,1134.0
wpu-fixed-observation,noisy_anomaly,8192,0.5,1.235341,-0.219902,32.0,32.0,8.0,0.902344,0.11541,0.898387,0.835417,0.23541,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.5,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,noisy_anomaly,8192,0.75,1.235341,-0.219902,32.0,32.0,4.34375,0.777344,0.175743,0.853338,0.61875,0.2409,32.0,1152.0
wpu-learned-observation,noisy_anomaly,8192,0.75,1.235341,-0.219902,32.0,32.0,6.0,0.789062,0.168949,0.857795,0.703943,0.258949,32.0,1152.0
wpu-calibrated-learned-observation,noisy_anomaly,8192,0.75,1.235341,-0.219902,32.0,32.0,4.625,0.871094,0.134229,0.883087,0.888542,0.203604,32.0,1152.0
wpu-fixed-observation,noisy_anomaly,8192,0.75,1.235341,-0.219902,32.0,32.0,8.0,0.847656,0.141567,0.877885,0.77939,0.261567,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.75,1.235341,-0.219902,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,weak_anomaly,128,0.0,1.47973,-0.196155,24.0,24.0,0.0,1.0,0.052658,0.950003,0.0,0.052658,24.0,864.0
wpu-learned-observation,weak_anomaly,128,0.0,1.47973,-0.196155,24.0,24.0,0.0,1.0,0.052767,0.949905,0.0,0.052767,24.0,864.0
wpu-calibrated-learned-observation,weak_anomaly,128,0.0,1.47973,-0.196155,24.0,24.0,0.0,1.0,0.053263,0.94945,0.0,0.053263,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.0,1.47973,-0.196155,32.0,32.0,8.0,1.0,0.069895,0.934702,0.0,0.189895,32.0,1152.0
dense-state-copy,weak_anomaly,128,0.0,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,weak_anomaly,128,0.25,1.47973,-0.196155,25.25,32.0,0.15625,0.8125,0.140824,0.878886,0.101562,0.143168,25.25,909.0
wpu-learned-observation,weak_anomaly,128,0.25,1.47973,-0.196155,30.5,32.0,0.8125,0.875,0.126325,0.891082,0.416667,0.138513,30.5,1098.0
wpu-calibrated-learned-observation,weak_anomaly,128,0.25,1.47973,-0.196155,24.0,24.0,0.0,0.796875,0.143691,0.875834,0.0,0.143691,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.25,1.47973,-0.196155,32.0,32.0,8.0,0.964844,0.084717,0.922359,0.601562,0.204717,32.0,1152.0
dense-state-copy,weak_anomaly,128,0.25,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,weak_anomaly,128,0.5,1.47973,-0.196155,24.75,32.0,0.09375,0.628906,0.225207,0.819641,0.017708,0.226613,24.75,891.0
wpu-learned-observation,weak_anomaly,128,0.5,1.47973,-0.196155,31.75,32.0,1.1875,0.75,0.185744,0.846482,0.359821,0.203557,31.75,1143.0
