accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.488889,0.943108,0.366667,4,16,0.034828,0.042838,4,0.544444,0.935098,0.155556,pairwise,0.977936,static_proximity,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,generated_2,learned,90,2048,0.887104,180,0.924173
0.5,0.943108,0.233333,4,16,0.028437,0.036448,4,0.544444,0.935098,0.022222,pairwise,0.971546,static_interaction,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,learned,90,2048,0.887104,180,0.924173
0.5,0.943108,0.022222,4,16,0.028712,0.036723,4,0.544444,0.935098,0.011111,pairwise,0.971821,static_learned,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.887104,180,0.924173
0.5,0.943108,0.022222,4,16,0.028712,0.036723,4,0.544444,0.935098,0.011111,pairwise,0.971821,static_base_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.887104,180,0.924173
0.466667,0.943108,0.0,4,16,0.036222,0.044233,4,0.544444,0.935098,0.077778,pairwise,0.97933,static_generated_validation_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.887104,180,0.924173
0.488889,0.943108,0.244444,4,16,0.041333,0.049344,4,0.544444,0.935098,0.277778,pairwise,0.984441,generated_set_reranker,40,600,400,0.005,,11,0.044444,0.222222,0.1,0.011111,0.377778,0.333333,0.044444,0.022222,0.222222,generated_2,learned,90,2048,0.887104,180,0.924173
0.488889,0.943108,0.244444,4,16,0.041333,0.049344,4,0.544444,0.935098,0.277778,pairwise,0.984441,generated_margin_safe_reranker,40,600,400,0.005,1,11,0.044444,0.222222,0.1,0.011111,0.377778,0.333333,0.044444,0.022222,0.222222,generated_2,learned,90,2048,0.887104,180,0.924173
0.522222,0.943108,1.0,4,16,0.0,0.008011,4,0.544444,0.935098,0.533333,pairwise,0.943108,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.377778,0.233333,0.022222,0.366667,generated_2,learned,90,2048,0.887104,180,0.924173
0.544444,0.943108,0.533333,4,16,-0.008011,0.0,4,0.544444,0.935098,1.0,pairwise,0.935098,generated_oracle,40,600,400,0.005,,11,0.033333,0.3,0.077778,0.055556,0.466667,0.344444,0.022222,0.011111,0.155556,generated_2,learned,90,2048,0.887104,180,0.924173
0.5,0.904589,0.4,4,16,0.066572,0.082057,4,0.555556,0.889104,0.366667,pairwise,0.971161,static_indexed,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,proximity,proximity,90,2048,0.872122,180,0.927068
