row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count,adaptation_policy,adaptation_steps,adaptation_samples,adaptation_lr
seed,graph-transformer,31,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.361111,0.527778,0.021971,1.191176,0.724471,0.31318,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,31,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.611111,0.444444,0.089314,0.942885,0.56543,0.160239,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,31,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.5,0.089139,1.085434,0.61845,0.23888,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,graph-transformer,31,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.694444,0.011927,0.786872,0.498685,0.178407,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.444444,0.444444,0.008541,0.991156,0.617422,0.252511,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.361111,0.444444,0.064365,1.090525,0.662437,0.104208,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.611111,0.527778,0.044949,0.95181,0.557427,0.181731,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.305556,0.805556,0.004034,0.991106,0.658811,0.217974,4.8,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.444444,0.011568,0.896471,0.561943,0.178095,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.305556,0.416667,0.056904,1.100335,0.666991,0.157901,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.611111,0.555556,0.045712,0.957727,0.564318,0.087403,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.805556,0.805556,0.011878,0.73708,0.435004,0.21904,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.444444,0.014559,0.910203,0.583443,0.046702,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.333333,0.361111,0.058202,1.095888,0.667455,0.093462,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.555556,0.04427,0.960077,0.576617,0.173829,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.777778,0.777778,0.013622,0.696812,0.403314,0.146382,4.8,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.361111,0.444444,0.009564,0.94123,0.605927,0.179484,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.5,0.361111,0.063615,1.011502,0.615889,0.069979,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.051182,1.000941,0.586463,0.110277,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.777778,0.004874,0.969302,0.589417,0.091292,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.010782,0.998099,0.616509,0.168982,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.472222,0.0889,0.992555,0.598369,0.102102,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.444444,0.07244,0.831733,0.474629,0.186695,4.275,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.611111,0.722222,0.006804,0.972963,0.549248,0.07031,4.775,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,serialized-token,29,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.5,0.009172,0.881089,0.542161,0.142811,4.3,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
