causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
16,0.05,1.093972,1.093972,0.985606,32,0.02,dense,0.0,128,1.081896,0.133333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.909773,physical_dense_expansion_gate,0.477778,-0.00838,0.048829,0.958602,40,80,0.0165,none,90,19,0.966982,ok,0.133333,2048,90
16,0.05,1.07498,1.010775,1.010775,32,0.02,sparse,0.0,128,1.064004,0.044444,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.946155,initial_calibrated_regret,0.488889,0.004556,0.057628,1.003782,40,80,0.042685,none,90,23,0.999226,ok,0.044444,2048,90
16,0.05,1.07498,1.010775,1.010775,32,0.02,sparse,1.0,128,1.064004,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.946155,always_expand_sparse,0.533333,0.011549,0.064621,1.010775,40,80,0.042685,always,90,23,0.999226,ok,1.0,2048,90
16,0.05,1.07498,1.07498,1.010775,32,0.02,dense,1.0,128,1.064004,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.965282,always_expand_dense,0.5,0.075753,0.109698,1.07498,40,80,0.042685,always,90,23,0.999226,ok,1.0,2048,90
16,0.05,1.07498,1.010775,1.010775,32,0.02,sparse,0.322222,128,1.064004,0.044444,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.946155,structured_expansion_gate,0.522222,0.003717,0.056788,1.002943,40,80,0.042685,regret_abs:ge:0.077648 AND target_x:le:0.930130,90,23,0.999226,ok,0.366667,2048,90
16,0.05,1.07498,1.010775,1.010775,32,0.02,sparse,0.3,128,1.064004,0.044444,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.946155,physical_expansion_gate,0.533333,-0.001139,0.051933,0.998088,40,80,0.042685,event_norm:le:1.629355 AND target_x:le:0.874219,90,23,0.999226,ok,0.344444,2048,90
16,0.05,1.07498,1.07498,1.010775,32,0.02,dense,0.322222,128,1.064004,0.044444,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.965282,structured_dense_expansion_gate,0.488889,0.023645,0.05759,1.022872,40,80,0.042685,regret_abs:ge:0.077648 AND target_x:le:0.930130,90,23,0.999226,ok,0.366667,2048,90
16,0.05,1.07498,1.07498,1.010775,32,0.02,dense,0.3,128,1.064004,0.044444,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.965282,physical_dense_expansion_gate,0.5,0.015684,0.049628,1.01491,40,80,0.042685,event_norm:le:1.629355 AND target_x:le:0.874219,90,23,0.999226,ok,0.344444,2048,90
32,0.05,1.112481,1.052241,1.052241,32,0.02,sparse,0.0,128,1.09237,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.944639,initial_calibrated_regret,0.477778,-0.046516,0.046679,0.991318,40,80,-0.083574,none,90,11,1.037834,ok,0.177778,2048,90
32,0.05,1.112481,1.052241,1.052241,32,0.02,sparse,1.0,128,1.09237,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.944639,always_expand_sparse,0.522222,0.014408,0.107603,1.052241,40,80,-0.083574,always,90,11,1.037834,ok,1.0,2048,90
