accuracy,budget,causal_k,excess_over_oracle,interaction_mode,loss,oracle_accuracy,oracle_loss,oracle_match_rate,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.444444,4,32,0.017197,pairwise,1.007316,0.544444,0.990119,0.366667,validation_safe_reranker,40,600,400,0.005,1,17,0.0,0.755556,0.0,0.244444,proximity,90,2048,0.990349,180,0.991764
0.455556,4,32,0.016764,pairwise,1.006883,0.544444,0.990119,0.211111,margin_safe_reranker,40,600,400,0.005,0,17,0.0,0.0,0.0,1.0,proximity,90,2048,0.990349,180,0.991764
0.544444,4,32,0.0,pairwise,0.990119,0.544444,0.990119,1.0,oracle_over_retrievers,40,600,400,0.005,,17,0.322222,0.411111,0.055556,0.211111,proximity,90,2048,0.990349,180,0.991764
0.488889,4,32,0.045078,pairwise,1.013423,0.555556,0.968346,0.366667,static_indexed,40,600,400,0.005,,19,1.0,0.0,0.0,0.0,proximity,90,2048,0.973664,180,0.97352
0.477778,4,32,0.034812,pairwise,1.003158,0.555556,0.968346,0.4,static_proximity,40,600,400,0.005,,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.973664,180,0.97352
0.5,4,32,0.034876,pairwise,1.003221,0.555556,0.968346,0.2,static_interaction,40,600,400,0.005,,19,0.0,1.0,0.0,0.0,proximity,90,2048,0.973664,180,0.97352
0.5,4,32,0.034473,pairwise,1.002818,0.555556,0.968346,0.033333,static_learned,40,600,400,0.005,,19,0.0,0.0,1.0,0.0,proximity,90,2048,0.973664,180,0.97352
0.477778,4,32,0.034812,pairwise,1.003158,0.555556,0.968346,0.4,static_validation_choice,40,600,400,0.005,,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.973664,180,0.97352
0.477778,4,32,0.042012,pairwise,1.010358,0.555556,0.968346,0.4,deployed_reranker,40,600,400,0.005,,19,0.455556,0.0,0.0,0.544444,proximity,90,2048,0.973664,180,0.97352
0.477778,4,32,0.034812,pairwise,1.003158,0.555556,0.968346,0.4,validation_safe_reranker,40,600,400,0.005,0,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.973664,180,0.97352
0.477778,4,32,0.034812,pairwise,1.003158,0.555556,0.968346,0.4,margin_safe_reranker,40,600,400,0.005,0,19,0.0,0.0,0.0,1.0,proximity,90,2048,0.973664,180,0.97352
0.555556,4,32,0.0,pairwise,0.968346,0.555556,0.968346,1.0,oracle_over_retrievers,40,600,400,0.005,,19,0.366667,0.2,0.033333,0.4,proximity,90,2048,0.973664,180,0.97352
