mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-neighbor-only,noisy_anomaly,512,0.25,24.0,24.0,0.0,0.730469,0.174301,0.853766,0.0,0.174301,24.0,864.0
wpu-fixed-observation,noisy_anomaly,512,0.25,32.0,32.0,8.0,0.953125,0.093598,0.915281,0.5625,0.213598,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,512,0.25,29.75,32.0,1.28125,0.886719,0.119258,0.894702,0.442708,0.138476,29.75,1071.0
wpu-learned-observation,noisy_anomaly,512,0.25,32.0,32.0,5.96875,0.921875,0.103421,0.90751,0.627604,0.192953,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,noisy_anomaly,512,0.5,24.0,24.0,0.0,0.511719,0.276371,0.786666,0.0,0.276371,24.0,864.0
wpu-fixed-observation,noisy_anomaly,512,0.5,32.0,32.0,8.0,0.867188,0.130038,0.887022,0.733854,0.250038,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,512,0.5,32.0,32.0,3.09375,0.792969,0.164561,0.860968,0.534003,0.210968,32.0,1152.0
wpu-learned-observation,noisy_anomaly,512,0.5,32.0,32.0,6.0,0.820312,0.150483,0.871273,0.644196,0.240483,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,noisy_anomaly,512,0.75,24.0,24.0,0.0,0.382812,0.3345,0.752134,0.0,0.3345,24.0,864.0
wpu-fixed-observation,noisy_anomaly,512,0.75,32.0,32.0,8.0,0.820312,0.154564,0.868594,0.776674,0.274564,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,512,0.75,32.0,32.0,4.40625,0.757812,0.184616,0.847298,0.620312,0.25071,32.0,1152.0
wpu-learned-observation,noisy_anomaly,512,0.75,32.0,32.0,6.0,0.777344,0.169521,0.858149,0.740253,0.259521,32.0,1152.0
dense-state-copy,noisy_anomaly,512,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,noisy_anomaly,2048,0.0,24.0,24.0,0.0,0.945312,0.078689,0.928067,0.0,0.078689,24.0,864.0
wpu-fixed-observation,noisy_anomaly,2048,0.0,32.0,32.0,8.0,0.941406,0.096816,0.912981,0.0,0.216816,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,2048,0.0,24.0,24.0,0.0,0.945312,0.079011,0.92789,0.0,0.079011,24.0,864.0
wpu-learned-observation,noisy_anomaly,2048,0.0,32.0,32.0,5.96875,0.945312,0.09778,0.912243,0.0,0.187311,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,noisy_anomaly,2048,0.25,24.0,24.0,0.0,0.722656,0.183761,0.847823,0.0,0.183761,24.0,864.0
wpu-fixed-observation,noisy_anomaly,2048,0.25,32.0,32.0,8.0,0.964844,0.086673,0.921063,0.742188,0.206673,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,2048,0.25,30.75,32.0,1.625,0.878906,0.122873,0.892294,0.447917,0.147248,30.75,1107.0
wpu-learned-observation,noisy_anomaly,2048,0.25,32.0,32.0,5.96875,0.914062,0.11138,0.901479,0.596354,0.200912,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,noisy_anomaly,2048,0.5,24.0,24.0,0.0,0.558594,0.252585,0.800346,0.0,0.252585,24.0,864.0
wpu-fixed-observation,noisy_anomaly,2048,0.5,32.0,32.0,8.0,0.882812,0.12333,0.891939,0.80625,0.24333,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,2048,0.5,32.0,32.0,3.59375,0.820312,0.152795,0.869136,0.659301,0.206701,32.0,1152.0
wpu-learned-observation,noisy_anomaly,2048,0.5,32.0,32.0,6.0,0.835938,0.148236,0.874028,0.653125,0.238236,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,noisy_anomaly,2048,0.75,24.0,24.0,0.0,0.371094,0.337583,0.74954,0.0,0.337583,24.0,864.0
wpu-fixed-observation,noisy_anomaly,2048,0.75,32.0,32.0,8.0,0.863281,0.131605,0.886066,0.835565,0.251605,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,2048,0.75,32.0,32.0,4.5625,0.761719,0.180135,0.849623,0.634226,0.248573,32.0,1152.0
wpu-learned-observation,noisy_anomaly,2048,0.75,32.0,32.0,6.0,0.777344,0.172018,0.856385,0.687054,0.262018,32.0,1152.0
dense-state-copy,noisy_anomaly,2048,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,noisy_anomaly,8192,0.0,24.0,24.0,0.0,0.949219,0.078642,0.928099,0.0,0.078642,24.0,864.0
wpu-fixed-observation,noisy_anomaly,8192,0.0,32.0,32.0,8.0,0.960938,0.087459,0.920512,0.0,0.207459,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,8192,0.0,24.0,24.0,0.0,0.917969,0.088145,0.92055,0.0,0.088145,24.0,864.0
wpu-learned-observation,noisy_anomaly,8192,0.0,32.0,32.0,5.90625,0.945312,0.09427,0.915058,0.0,0.182864,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,noisy_anomaly,8192,0.25,24.0,24.0,0.0,0.777344,0.154856,0.86806,0.0,0.154856,24.0,864.0
wpu-fixed-observation,noisy_anomaly,8192,0.25,32.0,32.0,8.0,0.921875,0.106558,0.905014,0.77753,0.226558,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,8192,0.25,30.5,32.0,1.5,0.875,0.12191,0.892867,0.440104,0.14441,30.5,1098.0
wpu-learned-observation,noisy_anomaly,8192,0.25,32.0,32.0,6.0,0.90625,0.112779,0.899846,0.716146,0.202779,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,noisy_anomaly,8192,0.5,24.0,24.0,0.0,0.621094,0.22543,0.819249,0.0,0.22543,24.0,864.0
wpu-fixed-observation,noisy_anomaly,8192,0.5,32.0,32.0,8.0,0.875,0.12764,0.889139,0.793676,0.24764,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,8192,0.5,31.75,32.0,2.96875,0.847656,0.138256,0.880568,0.656771,0.182788,31.75,1143.0
wpu-learned-observation,noisy_anomaly,8192,0.5,32.0,32.0,6.0,0.847656,0.140671,0.878733,0.669792,0.230671,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,noisy_anomaly,8192,0.75,24.0,24.0,0.0,0.371094,0.337963,0.750837,0.0,0.337963,24.0,864.0
wpu-fixed-observation,noisy_anomaly,8192,0.75,32.0,32.0,8.0,0.8125,0.157244,0.867146,0.730394,0.277244,32.0,1152.0
wpu-adaptive-observation,noisy_anomaly,8192,0.75,32.0,32.0,4.6875,0.761719,0.180503,0.849214,0.628646,0.250816,32.0,1152.0
wpu-learned-observation,noisy_anomaly,8192,0.75,32.0,32.0,6.0,0.742188,0.186122,0.845259,0.622321,0.276122,32.0,1152.0
dense-state-copy,noisy_anomaly,8192,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,weak_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.053279,0.94944,0.0,0.053279,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.0,32.0,32.0,8.0,1.0,0.066888,0.937336,0.0,0.186888,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.052447,0.950197,0.0,0.052447,24.0,864.0
wpu-learned-observation,weak_anomaly,128,0.0,24.0,24.0,0.0,1.0,0.05538,0.947551,0.0,0.05538,24.0,864.0
