accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.566667,4,0.957108,32,600,0.0,600,4,,13,pairwise,0.957108,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,13,0.255556,0.011111,0.0,0.266667,0.022222,0.233333,0.088889,0.011111,0.355556,0.244444,0.011111,0.0,0.122222,90,2048,1.0,0.976436,4,0.984442,1.0,0.977709,180
,0.455556,4,0.986745,32,600,0.019265,600,4,,17,pairwise,1.00601,0.0,0.011111,static_learned_interaction,,,40,,600,0.0,400,0.5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,1.0,0.967127,4,0.980855,0.984722,0.967248,180
1.0,0.466667,4,0.986745,32,600,0.023046,600,4,0.566667,17,pairwise,1.009792,0.0,0.1,candidate_regret_gate,-0.028289,0.052865,40,0.028545,600,0.0,400,0.5,17,0.766667,0.066667,0.088889,0.922222,0.011111,0.011111,0.033333,0.0,0.055556,0.0,0.0,0.0,0.022222,90,2048,1.0,0.967127,4,0.980855,0.984722,0.967248,180
0.966667,0.466667,4,0.986745,32,600,0.02195,600,4,0.544444,17,pairwise,1.008695,0.0,0.111111,uncertainty_regret_gate,-0.028289,0.052865,40,0.028545,600,0.0,400,0.5,17,0.7,0.055556,0.155556,0.911111,0.011111,0.0,0.033333,0.0,0.044444,0.0,0.0,0.033333,0.011111,90,2048,1.0,0.967127,4,0.980855,0.984722,0.967248,180
,0.544444,4,0.986745,32,600,0.0,600,4,,17,pairwise,0.986745,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,17,0.111111,0.0,0.022222,0.133333,0.111111,0.155556,0.155556,0.088889,0.511111,0.211111,0.033333,0.011111,0.1,90,2048,1.0,0.967127,4,0.980855,0.984722,0.967248,180
,0.5,4,0.962667,32,600,0.040151,600,4,,19,pairwise,1.002818,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.936111,0.97572,4,0.985134,0.058333,0.984451,180
0.955556,0.522222,4,0.962667,32,600,0.042006,600,4,0.433333,19,pairwise,1.004674,0.0,0.144444,candidate_regret_gate,5.9e-05,0.051433,40,0.012871,600,0.0,400,0.5,19,0.577778,0.088889,0.177778,0.844444,0.033333,0.011111,0.044444,0.0,0.088889,0.022222,0.0,0.044444,0.0,90,2048,0.936111,0.97572,4,0.985134,0.058333,0.984451,180
0.088889,0.488889,4,0.962667,32,600,0.041845,600,4,0.066667,19,pairwise,1.004512,0.0,0.0,uncertainty_regret_gate,5.9e-05,0.051433,40,0.012871,600,0.0,400,0.5,19,0.033333,0.0,0.055556,0.088889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911111,0.0,90,2048,0.936111,0.97572,4,0.985134,0.058333,0.984451,180
,0.566667,4,0.962667,32,600,0.0,600,4,,19,pairwise,0.962667,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,19,0.222222,0.044444,0.022222,0.288889,0.066667,0.288889,0.044444,0.033333,0.433333,0.177778,0.011111,0.0,0.088889,90,2048,0.936111,0.97572,4,0.985134,0.058333,0.984451,180
,0.488889,4,0.946087,32,600,0.051854,600,4,,23,pairwise,0.997941,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.930556,0.97164,4,0.980167,0.034722,0.979325,180
0.944444,0.666667,4,0.946087,32,600,0.039223,600,4,0.355556,23,pairwise,0.98531,0.0,0.322222,candidate_regret_gate,0.000485,0.051986,40,0.156308,600,0.0,400,0.5,23,0.711111,0.066667,0.1,0.877778,0.011111,0.011111,0.011111,0.0,0.033333,0.033333,0.0,0.055556,0.0,90,2048,0.930556,0.97164,4,0.980167,0.034722,0.979325,180
0.022222,0.511111,4,0.946087,32,600,0.050449,600,4,0.0,23,pairwise,0.996535,0.0,0.022222,uncertainty_regret_gate,0.000485,0.051986,40,0.156308,600,0.0,400,0.5,23,0.022222,0.0,0.0,0.022222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977778,0.0,90,2048,0.930556,0.97164,4,0.980167,0.034722,0.979325,180
,0.7,4,0.946087,32,600,0.0,600,4,,23,pairwise,0.946087,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,23,0.333333,0.011111,0.0,0.344444,0.044444,0.277778,0.044444,0.033333,0.4,0.122222,0.0,0.0,0.133333,90,2048,0.930556,0.97164,4,0.980167,0.034722,0.979325,180
