model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
serialized-token,512,4,0.2,0.0,0.0,0.0059,0.058172,4.0,4,4.0,515.0,22528.0,329.0973
graph-transformer-proxy,512,4,0.2,0.0,0.0,0.006419,0.059959,4.0,4,4.0,265225.0,1048576.0,0.587346
wpu-hybrid,512,4,0.2,0.0,0.25,0.004158,0.050197,4.0,4,4.0,4.0,144.0,60121.287537
wpu-hybrid-context,512,4,0.2,0.0,0.25,0.004534,0.050998,4.0,4,4.0,5.0,208.0,44106.637522
wpu-region-guard,512,4,0.2,0.0,0.25,0.003566,0.047466,4.0,4,4.0,4.0,144.0,70110.216809
dense-graph,512,4,0.2,0.0,0.25,0.005518,0.056005,4.0,4,4.0,516.0,18432.0,351.216727
serialized-token,512,4,0.2,0.0,0.25,0.004969,0.052855,4.0,4,4.0,516.0,22528.0,390.026361
graph-transformer-proxy,512,4,0.2,0.0,0.25,0.005518,0.056005,4.0,4,4.0,266256.0,1048576.0,0.680653
wpu-hybrid,512,4,0.2,0.5,0.0,0.03126,0.095175,4.0,4,3.671875,3.671875,132.1875,8711.980902
wpu-hybrid-context,512,4,0.2,0.5,0.0,0.031414,0.093774,4.0,4,3.671875,4.671875,190.9375,6813.840548
wpu-region-guard,512,4,0.2,0.5,0.0,0.003713,0.048941,4.0,4,4.0,4.0,144.0,67337.374377
dense-graph,512,4,0.2,0.5,0.0,0.005917,0.059972,4.0,4,4.0,513.53125,18432.0,329.102089
serialized-token,512,4,0.2,0.5,0.0,0.005297,0.055454,4.0,4,4.0,513.53125,22528.0,367.593654
graph-transformer-proxy,512,4,0.2,0.5,0.0,0.005917,0.059972,4.0,4,4.0,263715.09375,1048576.0,0.640859
wpu-hybrid,512,4,0.2,0.5,0.25,0.004064,0.051331,4.0,4,4.0,4.0,144.0,61519.804734
wpu-hybrid-context,512,4,0.2,0.5,0.25,0.004071,0.048303,4.0,4,4.0,5.0,208.0,49125.25871
wpu-region-guard,512,4,0.2,0.5,0.25,0.003393,0.04635,4.0,4,4.0,4.0,144.0,73688.985754
dense-graph,512,4,0.2,0.5,0.25,0.00534,0.05614,4.0,4,4.0,514.5,18432.0,364.00402
serialized-token,512,4,0.2,0.5,0.25,0.00479,0.051395,4.0,4,4.0,514.5,22528.0,405.788524
graph-transformer-proxy,512,4,0.2,0.5,0.25,0.00534,0.05614,4.0,4,4.0,264711.09375,1048576.0,0.707489
wpu-hybrid,512,8,0.95,0.0,0.0,0.002468,0.03722,8.0,8,8.0,8.0,288.0,50658.205418
wpu-hybrid-context,512,8,0.95,0.0,0.0,0.002555,0.035549,8.0,8,8.0,9.0,416.0,43495.144611
wpu-region-guard,512,8,0.95,0.0,0.0,0.002179,0.035004,8.0,8,8.0,8.0,288.0,57373.282192
dense-graph,512,8,0.95,0.0,0.0,0.003075,0.038469,8.0,8,8.0,519.0,18432.0,626.533789
serialized-token,512,8,0.95,0.0,0.0,0.002823,0.035533,8.0,8,8.0,519.0,22528.0,682.644633
graph-transformer-proxy,512,8,0.95,0.0,0.0,0.003075,0.038469,8.0,8,8.0,269361.0,1048576.0,1.207194
wpu-hybrid,512,8,0.95,0.0,0.25,0.002353,0.036189,8.0,8,8.0,8.0,288.0,53120.160001
wpu-hybrid-context,512,8,0.95,0.0,0.25,0.002412,0.03424,8.0,8,8.0,9.0,416.0,46069.36399
wpu-region-guard,512,8,0.95,0.0,0.25,0.002079,0.033981,8.0,8,8.0,8.0,288.0,60132.662585
dense-graph,512,8,0.95,0.0,0.25,0.00293,0.037435,8.0,8,8.0,521.0,18432.0,654.982168
serialized-token,512,8,0.95,0.0,0.25,0.002674,0.034247,8.0,8,8.0,521.0,22528.0,717.825079
